director_name,actor_1_name,N/A,movie_title
John Woo,Nicolas Cage,1997,Face/Off 
Adam Shankman,Adam Sandler,2008,Bedtime Stories 
Sam Mendes,Tom Hanks,2002,Road to Perdition 
Dennis Dugan,Adam Sandler,2011,Just Go with It 
N/A,Elden Henson,N/A,Daredevil             
Simon West,Steve Buscemi,1997,Con Air 
D.J. Caruso,Rosario Dawson,2008,Eagle Eye 
Anthony Minghella,Philip Seymour Hoffman,2003,Cold Mountain 
Albert Hughes,Denzel Washington,2010,The Book of Eli 
Les Mayfield,Robin Williams,1997,Flubber 
Jan de Bont,Liam Neeson,1999,The Haunting 
Joe Pytka,Bill Murray,1996,Space Jam 
Shawn Levy,Roger Rees,2006,The Pink Panther 
Scott Derrickson,Keanu Reeves,2008,The Day the Earth Stood Still 
Richard Donner,Julia Roberts,1997,Conspiracy Theory 
David Ayer,Brad Pitt,2014,Fury 
Ivan Reitman,Harrison Ford,1998,Six Days Seven Nights 
Eric Brevig,Justin Timberlake,2010,Yogi Bear 
Kelly Asbury,Matt Damon,2002,Spirit: Stallion of the Cimarron 
Frank Coraci,Rosario Dawson,2011,Zookeeper 
Stephen Hopkins,Gary Oldman,1998,Lost in Space 
Jonathan Demme,Denzel Washington,2004,The Manchurian Candidate 
Henry Jaglom,Vanessa Redgrave,1997,Déjà Vu 
Genndy Tartakovsky,Steve Buscemi,2015,Hotel Transylvania 2 
N/A,Elizabeth Montgomery,N/A,Bewitched             
James Algar,Quincy Jones,1999,Fantasia 2000 
Simon Wells,Mark Addy,2002,The Time Machine 
Ron Underwood,Charlize Theron,1998,Mighty Joe Young 
Dominic Sena,Hugh Jackman,2001,Swordfish 
Martin Campbell,Michael Emerson,2005,The Legend of Zorro 
Vincent Ward,Robin Williams,1998,What Dreams May Come 
Steven Brill,Adam Sandler,2000,Little Nicky 
Terry Gilliam,Matt Damon,2005,The Brothers Grimm 
Tim Burton,Natalie Portman,1996,Mars Attacks! 
Lucile Hadzihalilovic,Nissim Renard,2015,Evolution 
Lee Tamahori,Anthony Hopkins,1997,The Edge 
Jonathan Mostow,Bruce Willis,2009,Surrogates 
Roger Donaldson,Bruce Greenwood,2000,Thirteen Days 
Rob Cohen,Sylvester Stallone,1996,Daylight 
Barry Cook,Charlie Rowe,2013,Walking with Dinosaurs 3D 
Roger Christian,Richard Tyson,2000,Battlefield Earth 
Joe Dante,Brendan Fraser,2003,Looney Tunes: Back in Action 
Rob Marshall,Fergie,2009,Nine 
Richard Donner,Paul Walker,2003,Timeline 
